Activity Date,Process Date,Settle Date,Instrument,Description,Trans Code,Quantity,Price,Amount
6/9/2023,6/9/2023,6/9/2023,,Transfer from Brokerage to Spending,XENT,,,-$50.00
6/9/2023,6/9/2023,6/12/2023,NVDA,NVDA 6/16/2023 Put $380.00,STO,1,$3.47,$346.98
6/9/2023,6/9/2023,6/12/2023,NVDA,NVDA 6/16/2023 Put $375.00,BTO,1,$2.40,-$240.00
6/9/2023,6/9/2023,6/12/2023,NVDA,NVDA 6/9/2023 Put $375.00,BTC,1,$0.03,-$3.00
6/9/2023,6/9/2023,6/12/2023,NVDA,NVDA 6/9/2023 Put $370.00,STC,1,$0.01,$0.98
6/8/2023,6/8/2023,6/9/2023,PLTR,PLTR 6/30/2023 Call $14.00,BTC,1,$1.84,-$184.00
6/7/2023,6/7/2023,6/8/2023,MSFT,MSFT 6/9/2023 Put $317.50,STC,1,$0.25,$24.98
6/7/2023,6/7/2023,6/8/2023,MSFT,MSFT 6/9/2023 Put $322.50,BTC,1,$0.76,-$76.00
6/6/2023,6/6/2023,6/6/2023,JEPI,Cash Div: R/D 2023-06-02 P/D 2023-06-06 - 2 shares at 0.36541,CDIV,,,$0.73
6/5/2023,6/5/2023,6/6/2023,PLTR,PLTR 1/17/2025 Call $12.00,BTO,1,$6.90,-$690.00
6/5/2023,6/5/2023,6/7/2023,AI,"C3.AI
CUSIP: 12468P104",Buy,5,$34.44,-$172.20
6/5/2023,6/5/2023,6/6/2023,SOFI,SOFI 1/19/2024 Call $6.00,BTO,1,$2.13,-$213.00
6/2/2023,6/2/2023,6/5/2023,TSLA,Option Expiration for TSLA 6/2/2023 Put $182.50,OEXP,1,,
6/2/2023,6/2/2023,6/5/2023,TSLA,Option Expiration for TSLA 6/2/2023 Put $180.00,OEXP,1S,,
6/2/2023,6/2/2023,6/2/2023,,Gold Fee,GOLD,,,-$5.00
6/2/2023,6/2/2023,6/2/2023,,Aggregated Margin Rate,MINT,,,-$10.19
6/1/2023,6/1/2023,6/5/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,1,$386.12,-$386.13
6/1/2023,6/1/2023,6/5/2023,AI,"C3.AI
CUSIP: 12468P104",Buy,4,$33.34,-$133.35
5/31/2023,5/31/2023,5/31/2023,DIVO,Cash Div: R/D 2023-05-30 P/D 2023-05-31 - 2 shares at 0.13928,CDIV,,,$0.28
5/31/2023,5/31/2023,5/31/2023,XYLD,Manufactured Div: R/D 2023-05-23 P/D 2023-05-31 - 1 shares at 0.284,MDIV,,,$0.28
5/31/2023,5/31/2023,5/31/2023,SVOL,Cash Div: R/D 2023-05-26 P/D 2023-05-31 - 1 shares at 0.32,CDIV,,,$0.32
5/31/2023,5/31/2023,6/1/2023,NVDA,NVDA 6/9/2023 Put $375.00,STO,1,$5.04,$503.98
5/31/2023,5/31/2023,6/1/2023,NVDA,NVDA 6/9/2023 Put $370.00,BTO,1,$3.79,-$379.00
5/30/2023,5/30/2023,6/1/2023,MASS,"908 Devices
CUSIP: 65443P102",Sell,10,$9.02,$90.23
5/30/2023,5/30/2023,6/1/2023,MRVL,"Marvell Technology
CUSIP: 573874104",Sell,5,$64.31,$321.55
5/30/2023,5/30/2023,6/1/2023,AI,"C3.AI
CUSIP: 12468P104",Buy,1,$39.62,-$39.63
5/30/2023,5/30/2023,6/1/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,1,$411.54,-$411.54
5/30/2023,5/30/2023,5/30/2023,,Transfer from Brokerage to Spending,XENT,,,-$50.00
5/26/2023,5/26/2023,5/30/2023,PLTR,PLTR 6/2/2023 Call $13.50,BTC,1,$0.91,-$91.00
5/26/2023,5/26/2023,5/30/2023,PLTR,PLTR 6/30/2023 Call $14.00,STO,1,$1.21,$120.98
5/26/2023,5/26/2023,5/30/2023,TSLA,TSLA 6/2/2023 Put $182.50,STO,1,$2.29,$228.98
5/26/2023,5/26/2023,5/30/2023,TSLA,TSLA 6/2/2023 Put $180.00,BTO,1,$1.68,-$168.00
5/26/2023,5/26/2023,5/30/2023,MSFT,MSFT 6/9/2023 Put $317.50,BTO,1,$2.61,-$261.00
5/26/2023,5/26/2023,5/30/2023,MSFT,MSFT 6/9/2023 Put $322.50,STO,1,$4.09,$408.98
5/26/2023,5/26/2023,5/31/2023,MSFT,"Microsoft
CUSIP: 594918104",Buy,1,$326.25,-$326.25
5/26/2023,5/26/2023,5/31/2023,MRVL,"Marvell Technology
CUSIP: 573874104",Buy,5,$61.08,-$305.38
5/25/2023,5/25/2023,5/30/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Sell,1,$374.87,$374.87
5/25/2023,5/25/2023,5/30/2023,ADPT,"Adaptive Biotechnologies
CUSIP: 00650F109",Sell,10,$6.90,$69.02
5/25/2023,5/25/2023,5/30/2023,AMD,"AMD
CUSIP: 007903107",Sell,3,$116.44,$349.31
5/25/2023,5/25/2023,5/30/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,1,$379.52,-$379.52
5/25/2023,5/25/2023,5/26/2023,PLTR,PLTR 6/2/2023 Call $13.50,STO,1,$0.46,$45.98
5/25/2023,5/25/2023,5/26/2023,PLTR,PLTR 6/21/2024 Call $12.00,BTO,1,$4.05,-$405.00
5/25/2023,5/25/2023,5/30/2023,AMD,"AMD
CUSIP: 007903107",Buy,2,$119.02,-$238.04
5/25/2023,5/25/2023,5/30/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Sell,1,$380.74,$380.74
5/24/2023,5/24/2023,5/25/2023,TSLA,TSLA 5/26/2023 Put $170.00,STC,1,$0.56,$55.98
5/24/2023,5/24/2023,5/25/2023,TSLA,TSLA 5/26/2023 Put $185.00,BTC,1,$6.59,-$659.00
5/24/2023,5/24/2023,5/26/2023,AMZN,"Amazon
CUSIP: 023135106",Buy,1,$116.36,-$116.36
5/24/2023,5/24/2023,5/26/2023,PANW,"Palo Alto Networks
CUSIP: 697435105",Buy,1,$202.41,-$202.41
5/23/2023,5/23/2023,5/25/2023,ADPT,"Adaptive Biotechnologies
CUSIP: 00650F109",Buy,10,$6.55,-$65.50
5/23/2023,5/23/2023,5/25/2023,MASS,"908 Devices
CUSIP: 65443P102",Buy,10,$10.30,-$102.99
5/23/2023,5/23/2023,5/25/2023,SCHW,"Charles Schwab
CUSIP: 808513105",Sell,1,$52.32,$52.32
5/23/2023,5/23/2023,5/25/2023,TMV,"Direxion Daily 20+ Year Treasury Bear 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index; symbol AXTWEN)
CUSIP: 25460G849",Sell,1,$126.12,$126.12
5/22/2023,5/22/2023,5/22/2023,APA,Cash Div: R/D 2023-04-21 P/D 2023-05-22 - 100 shares at 0.25,CDIV,,,$25.00
5/22/2023,5/22/2023,5/24/2023,RCL,"Royal Caribbean Group
CUSIP: V7780T103",Sell,1,$81.11,$81.11
5/22/2023,5/22/2023,5/24/2023,TSLL,"Direxion Shares ETF Trust Direxion Daily TSLA Bull 1.5X Shares
CUSIP: 25460G286",Sell,30,$10.50,$315.05
5/22/2023,5/22/2023,5/24/2023,SVOL,"Simplify Volatility Premium ETF
CUSIP: 82889N863",Buy,1,$22.21,-$22.21
5/22/2023,5/22/2023,5/24/2023,TSLL,"Direxion Shares ETF Trust Direxion Daily TSLA Bull 1.5X Shares
CUSIP: 25460G286",Buy,30,$10.21,-$306.30
5/19/2023,5/19/2023,5/22/2023,TSLA,TSLA 5/19/2023 Put $170.00,BTC,1,$0.02,-$2.00
5/19/2023,5/19/2023,5/22/2023,TSLA,TSLA 5/19/2023 Put $167.50,STC,1,$0.01,$0.98
5/19/2023,5/19/2023,5/22/2023,TSLA,TSLA 5/19/2023 Put $170.00,BTC,1,$0.02,-$2.00
5/19/2023,5/19/2023,5/22/2023,TSLA,TSLA 5/19/2023 Put $167.50,STC,1,$0.01,$0.98
5/19/2023,5/19/2023,5/23/2023,PLTR,"Palantir Technologies
CUSIP: 69608A108",Buy,10,$11.94,-$119.45
5/19/2023,5/19/2023,5/23/2023,MSFT,"Microsoft
CUSIP: 594918104",Buy,1,$316.88,-$316.88
5/18/2023,5/18/2023,5/22/2023,PLTR,"Palantir Technologies
CUSIP: 69608A108",Sell,5,$11.17,$55.85
5/18/2023,5/18/2023,5/22/2023,PLTR,"Palantir Technologies
CUSIP: 69608A108",Sell,5,$11.17,$55.85
5/18/2023,5/18/2023,5/22/2023,PLTR,"Palantir Technologies
CUSIP: 69608A108",Buy,10,$10.76,-$107.60
5/17/2023,5/17/2023,5/17/2023,,Transfer from Brokerage to Spending,XENT,,,-$14.00
5/17/2023,5/17/2023,5/19/2023,STSA,"Satsuma Pharmaceuticals
CUSIP: 80405P107",Sell,100,$1.06,$105.53
5/17/2023,5/17/2023,5/18/2023,TSLA,TSLA 5/19/2023 Put $170.00,STO,2,$1.95,$389.98
5/17/2023,5/17/2023,5/18/2023,TSLA,TSLA 5/19/2023 Put $167.50,BTO,2,$1.20,-$240.00
5/17/2023,5/17/2023,5/17/2023,,ACH Deposit,ACH,,,$450.00
5/17/2023,5/17/2023,5/19/2023,TMV,"Direxion Daily 20+ Year Treasury Bear 3X Shares (based on the NYSE 20 Year Plus Treasury Bond Index; symbol AXTWEN)
CUSIP: 25460G849",Buy,1,$116.72,-$116.73
5/17/2023,5/17/2023,5/19/2023,RCL,"Royal Caribbean Group
CUSIP: V7780T103",Buy,1,$79.26,-$79.26
5/17/2023,5/17/2023,5/19/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,20,$169.90,"-$3,397.99"
5/17/2023,5/17/2023,5/19/2023,APA,"APA Corporation
CUSIP: 03743Q108",Sell,100,$32.08,"$3,208.07"
5/15/2023,5/15/2023,5/16/2023,SCHW,SCHW 5/19/2023 Put $47.50,STC,1,$0.09,$8.98
5/15/2023,5/15/2023,5/16/2023,SCHW,SCHW 5/19/2023 Put $50.00,BTC,1,$0.51,-$51.00
5/15/2023,5/15/2023,5/16/2023,SCHW,SCHW 5/19/2023 Put $47.50,BTO,1,$0.17,-$17.00
5/15/2023,5/15/2023,5/16/2023,SCHW,SCHW 5/19/2023 Put $50.00,STO,1,$0.74,$73.98
5/15/2023,5/15/2023,5/17/2023,SCHW,"Charles Schwab
CUSIP: 808513105",Buy,1,$50.39,-$50.39
5/11/2023,5/11/2023,5/15/2023,GOOG,"Alphabet Class C
CUSIP: 02079K107",Buy,1,$117.26,-$117.26
5/11/2023,5/11/2023,5/15/2023,AMZN,"Amazon
CUSIP: 023135106",Buy,1,$110.78,-$110.78
5/11/2023,5/11/2023,5/15/2023,OMFL,"Invesco Russell 1000 Dynamic Multifactor ETF
CUSIP: 46138J619",Buy,2,$47.27,-$94.54
5/9/2023,5/9/2023,5/10/2023,AMD,AMD 6/16/2023 Put $80.00,BTC,1,$1.00,-$100.00
5/9/2023,5/9/2023,5/10/2023,AMD,AMD 6/16/2023 Put $70.00,STC,1,$0.29,$28.98
5/4/2023,5/4/2023,5/4/2023,JEPI,Cash Div: R/D 2023-05-02 P/D 2023-05-04 - 2 shares at 0.42458,CDIV,,,$0.85
5/4/2023,5/4/2023,5/8/2023,AMD,"AMD
CUSIP: 007903107",Buy,1,$83.34,-$83.34
5/3/2023,5/3/2023,5/3/2023,,Gold Fee,GOLD,,,-$5.00
5/3/2023,5/3/2023,5/3/2023,,Aggregated Margin Rate,MINT,,,-$0.04
5/2/2023,5/2/2023,5/2/2023,XYLD,Cash Div: R/D 2023-04-25 P/D 2023-05-02 - 1 shares at 0.37596,CDIV,,,$0.38
5/2/2023,5/2/2023,5/3/2023,APA,APA 1/17/2025 Call $55.00,BTC,1,$3.25,-$325.00
5/2/2023,5/2/2023,5/4/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,2,$160.98,-$321.96
4/28/2023,4/28/2023,4/28/2023,DIVO,Manufactured Div: R/D 2023-04-27 P/D 2023-04-28 - 2 shares at 0.144953,MDIV,,,$0.29
4/28/2023,4/28/2023,4/28/2023,,Interest Payment,INT,,,$0.01
4/27/2023,4/27/2023,4/28/2023,NVDA,NVDA 4/28/2023 Put $257.50,STC,1,$0.30,$29.98
4/27/2023,4/27/2023,4/28/2023,NVDA,NVDA 4/28/2023 Put $267.50,BTC,1,$2.45,-$245.00
4/27/2023,4/27/2023,5/1/2023,NVDA,"NVIDIA
CUSIP: 67066G104",Buy,1,$268.75,-$268.75
4/24/2023,4/24/2023,4/24/2023,,Transfer from Brokerage to Spending,XENT,,,-$100.00
4/21/2023,4/21/2023,4/25/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,2,$164.21,-$328.42
4/21/2023,4/21/2023,4/25/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,2,$163.99,-$327.98
4/21/2023,4/21/2023,4/24/2023,TSLA,TSLA 5/26/2023 Put $170.00,BTO,1,$13.40,"-$1,340.00"
4/21/2023,4/21/2023,4/24/2023,TSLA,TSLA 5/26/2023 Put $185.00,STO,1,$23.83,"$2,382.97"
4/21/2023,4/21/2023,4/24/2023,TSLA,TSLA 4/21/2023 Put $200.00,BTC,1,$36.20,"-$3,620.00"
4/21/2023,4/21/2023,4/24/2023,TSLA,TSLA 4/21/2023 Put $191.67,STC,1,$27.70,"$2,769.96"
4/21/2023,4/21/2023,4/24/2023,XOM,XOM 6/16/2023 Put $105.00,BTC,1,$1.37,-$137.00
4/21/2023,4/21/2023,4/24/2023,XOM,XOM 6/16/2023 Put $95.00,STC,1,$0.38,$37.98
4/17/2023,4/17/2023,4/19/2023,STSA,"Satsuma Pharmaceuticals
CUSIP: 80405P107",Buy,100,$1.35,-$134.86
4/14/2023,4/14/2023,4/17/2023,NVDA,NVDA 4/28/2023 Put $257.50,BTO,1,$4.65,-$465.00
4/14/2023,4/14/2023,4/17/2023,NVDA,NVDA 4/28/2023 Put $267.50,STO,1,$8.72,$871.98
4/14/2023,4/14/2023,4/17/2023,NVDA,NVDA 4/14/2023 Put $270.00,STC,1,$4.27,$426.98
4/14/2023,4/14/2023,4/17/2023,NVDA,NVDA 4/14/2023 Put $272.50,BTC,1,$6.79,-$679.00
4/12/2023,4/12/2023,4/14/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,1,$182.05,-$182.05
4/12/2023,4/12/2023,4/14/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,1,$182.05,-$182.05
4/10/2023,4/10/2023,4/12/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,2,$184.31,-$368.62
4/10/2023,4/10/2023,4/11/2023,SPY,SPY 4/10/2023 Put $407.00,BTC,1,$0.03,-$3.00
4/10/2023,4/10/2023,4/11/2023,SPY,SPY 4/10/2023 Put $404.00,STC,1,$0.01,$0.98
4/10/2023,4/10/2023,4/12/2023,XYLD,"Global X S&P 500 Covered Call ETF
CUSIP: 37954Y475",Buy,1,$40.61,-$40.61
4/10/2023,4/10/2023,4/10/2023,,Transfer from Brokerage to Spending,XENT,,,-$80.00
4/6/2023,4/6/2023,4/6/2023,JEPI,Cash Div: R/D 2023-04-04 P/D 2023-04-06 - 1 shares at 0.44506,CDIV,,,$0.45
4/6/2023,4/6/2023,4/10/2023,NVDA,NVDA 4/14/2023 Put $270.00,BTO,1,$5.86,-$586.00
4/6/2023,4/6/2023,4/10/2023,NVDA,NVDA 4/6/2023 Put $270.00,BTC,1,$0.60,-$60.00
4/6/2023,4/6/2023,4/10/2023,NVDA,NVDA 4/6/2023 Put $267.50,STC,1,$0.03,$2.98
4/6/2023,4/6/2023,4/10/2023,NVDA,NVDA 4/14/2023 Put $272.50,STO,1,$7.16,$715.98
4/6/2023,4/6/2023,4/11/2023,DIVO,"Amplify CWP Enhanced Dividend Income ETF
CUSIP: 032108409",Buy,2,$35.64,-$71.28
4/5/2023,4/5/2023,4/6/2023,SPY,SPY 4/5/2023 Put $406.00,STC,1,$0.35,$34.98
4/5/2023,4/5/2023,4/6/2023,SPY,SPY 4/5/2023 Put $408.00,BTC,1,$1.43,-$143.00
4/5/2023,4/5/2023,4/6/2023,SPY,SPY 4/10/2023 Put $407.00,STO,1,$2.70,$269.98
4/5/2023,4/5/2023,4/6/2023,SPY,SPY 4/10/2023 Put $404.00,BTO,1,$1.51,-$151.00
4/5/2023,4/5/2023,4/10/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,2,$185.61,-$371.22
4/4/2023,4/4/2023,4/6/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,4,$192.30,-$769.20
4/4/2023,4/4/2023,4/5/2023,SPY,SPY 4/4/2023 Put $408.00,BTC,1,$0.41,-$41.00
4/4/2023,4/4/2023,4/5/2023,SPY,SPY 4/4/2023 Put $407.00,STC,1,$0.09,$8.98
4/4/2023,4/4/2023,4/5/2023,SPY,SPY 4/5/2023 Put $406.00,BTO,1,$0.22,-$22.00
4/4/2023,4/4/2023,4/5/2023,SPY,SPY 4/5/2023 Put $408.00,STO,1,$0.49,$48.98
4/4/2023,4/4/2023,4/6/2023,JEPI,"JPMorgan Equity Premium Income
CUSIP: 46641Q332",Buy,1,$54.29,-$54.29
4/4/2023,4/4/2023,4/6/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,2,$195.25,-$390.50
4/3/2023,4/3/2023,4/4/2023,AAPL,AAPL 4/21/2023 Put $150.00,BTC,1,$0.36,-$36.00
4/3/2023,4/3/2023,4/4/2023,AAPL,AAPL 4/21/2023 Put $140.00,STC,1,$0.11,$10.98
4/3/2023,4/3/2023,4/5/2023,TSLA,"Tesla
CUSIP: 88160R101",Buy,2,$194.52,-$389.04
4/3/2023,4/3/2023,4/4/2023,SPY,SPY 4/4/2023 Put $408.00,STO,1,$1.15,$114.98
4/3/2023,4/3/2023,4/4/2023,SPY,SPY 4/4/2023 Put $407.00,BTO,1,$0.82,-$82.00
4/3/2023,4/3/2023,4/3/2023,,Gold Fee,GOLD,,,-$5.00
3/31/2023,3/31/2023,3/31/2023,,Interest Payment,INT,,,$0.01
3/31/2023,3/31/2023,4/3/2023,NVDA,NVDA 4/6/2023 Put $270.00,STO,1,$2.75,$274.98
3/31/2023,3/31/2023,4/3/2023,NVDA,NVDA 4/6/2023 Put $267.50,BTO,1,$2.09,-$209.00
3/30/2023,3/30/2023,3/31/2023,NVDA,NVDA 3/31/2023 Put $255.00,STC,1,$0.02,$1.98
3/30/2023,3/30/2023,3/31/2023,NVDA,NVDA 3/31/2023 Put $257.50,BTC,1,$0.04,-$4.00
3/24/2023,3/24/2023,3/27/2023,NVDA,NVDA 3/31/2023 Put $255.00,BTO,1,$2.57,-$257.00
3/24/2023,3/24/2023,3/27/2023,NVDA,NVDA 3/31/2023 Put $257.50,STO,1,$3.14,$313.98
3/24/2023,3/24/2023,3/27/2023,XOM,XOM 6/16/2023 Put $105.00,STO,1,$7.35,$734.98
3/24/2023,3/24/2023,3/27/2023,XOM,XOM 6/16/2023 Put $95.00,BTO,1,$3.39,-$339.00
3/24/2023,3/24/2023,3/27/2023,XOM,XOM 3/24/2023 Put $111.00,BTC,1,$8.08,-$808.00
3/24/2023,3/24/2023,3/27/2023,XOM,XOM 3/24/2023 Put $108.00,STC,1,$5.05,$504.98
3/20/2023,3/20/2023,3/20/2023,,Transfer from Brokerage to Spending,XENT,,,-$45.00
3/20/2023,3/20/2023,3/20/2023,,Internal transfer from rhs_account account to rhs_roth_ira account,ITRF,,,-$22.00
3/17/2023,3/17/2023,3/20/2023,ZIM,ZIM 3/17/2023 Call $24.00,OASGN,1,,
3/17/2023,3/17/2023,3/21/2023,ZIM,"ZIM Integrated Shipping Services
CUSIP: M9T951109
1 ZIM Option Assigned",Sell,100,$24.00,"$2,399.97"
3/10/2023,3/10/2023,3/13/2023,TSLA,TSLA 3/10/2023 Put $187.50,OEXCS,1S,,
3/10/2023,3/10/2023,3/13/2023,TSLA,TSLA 3/10/2023 Put $182.50,OEXCS,1S,,
3/10/2023,3/10/2023,3/14/2023,TSLA,"Tesla
CUSIP: 88160R101
1 TSLA Option Exercised",Sell,100,$182.50,"$18,249.84"
3/10/2023,3/10/2023,3/14/2023,TSLA,"Tesla
CUSIP: 88160R101
1 TSLA Option Exercised",Sell,100,$187.50,"$18,749.84"
3/10/2023,3/10/2023,3/13/2023,TSLA,TSLA 3/10/2023 Put $185.00,OASGN,1,,
3/10/2023,3/10/2023,3/14/2023,TSLA,"Tesla
CUSIP: 88160R101
1 TSLA Option Assigned",Buy,100,$185.00,"-$18,500.00"
3/10/2023,3/10/2023,3/13/2023,TSLA,TSLA 3/10/2023 Put $190.00,OEXCS,1S,,
3/10/2023,3/10/2023,3/14/2023,TSLA,"Tesla
CUSIP: 88160R101
1 TSLA Option Exercised",Sell,100,$190.00,"$18,999.83"
